method,label,mean_pnl,std_pnl,pnl_q05,pnl_q25,pnl_median,pnl_q75,pnl_q95,hit_rate,delta_pnl_vs_static,sharpe,sortino,calmar,delta_sharpe_vs_static,mean_reward,std_reward,downside_dev,ret_skew,ret_kurtosis_excess,max_drawdown,cvar_5,dd_improvement_vs_static,inv_mean,mean_abs_inv,std_inv,inv_tail_mass,time_at_limit,fill_rate,fills_per_episode,mean_spread,std_spread,profit_factor,episode_len_mean,episode_len_std
hybrid_as_rl,Hybrid AS+RL (Proposed),66.2980,12.3620,46.8060,59.0244,65.4973,73.6185,90.2554,1.0000,2.6371,4.4518,6.7301,13.5814,-2.5905,0.1657,0.5909,0.3908,0.2010,2.2029,4.8815,1.1505,-3.5312,-0.2109,4.0763,5.0533,0.1130,0.0533,0.2231,89.2600,1.2954,0.0521,2.2602,400.0000,0.0000
constrained_as,Constrained AS (Guéant),63.7435,6.4438,52.7200,59.4144,63.9650,67.9400,74.1576,1.0000,0.0826,7.0543,18.5998,47.2771,0.0120,0.1593,0.3584,0.1359,1.5302,3.0097,1.3483,0.3369,0.0020,0.0135,1.0855,1.5447,0.0006,0.0000,0.2180,87.1900,1.4919,0.1169,5.7951,400.0000,0.0000
static_as,Static AS,63.6609,6.4637,52.6176,59.3857,63.8452,67.9400,74.1561,1.0000,0.0000,7.0423,18.5119,47.1457,0.0000,0.1591,0.3586,0.1364,1.5274,3.0026,1.3503,0.3385,0.0000,0.0135,1.0855,1.5447,0.0006,0.0000,0.2180,87.1900,1.4913,0.1155,5.7687,400.0000,0.0000
model_free_rl,Model-Free RL (PPO),54.4643,9.9148,40.1186,48.6116,54.0400,60.8204,67.8173,1.0000,-9.1966,4.5569,10.6091,19.4369,-2.4854,0.1361,0.4743,0.2037,1.5015,3.8766,2.8021,0.6312,-1.4518,-2.4253,2.4419,1.5150,0.0037,0.0011,0.1246,49.8500,2.3652,0.3942,2.6106,400.0000,0.0000
hybrid_tuning,Hybrid Tuning RL,49.3807,7.7766,35.7552,45.4552,49.4758,54.6247,61.5795,1.0000,-14.2802,5.0058,21.7826,50.7790,-2.0364,0.1234,0.3915,0.0900,2.8826,8.4496,0.9725,0.2176,0.3778,-0.0458,0.6468,0.9968,0.0000,0.0000,0.1180,47.2100,0.0870,0.2968,6.7344,400.0000,0.0000
